tokenizer,omitted_issue_date,n_omitted,n_remaining,metric,full_sample,omission_value,pct_change
RoBERTalex,20230116,10,390,mediana,759.5,735.0,-3.2258064516129004
RoBERTalex,20230116,10,390,P90,8905.900000000005,7408.700000000015,-16.811327322336755
RoBERTalex,20230116,10,390,P95,16621.85,15695.849999999991,-5.57098036620477
RoBERTalex,20230215,10,390,mediana,759.5,773.0,1.7774851876234399
RoBERTalex,20230215,10,390,P90,8905.900000000005,9173.600000000008,3.005872511481189
RoBERTalex,20230215,10,390,P95,16621.85,16650.35,0.1714610587870702
RoBERTalex,20230415,10,390,mediana,759.5,759.5,0.0
RoBERTalex,20230415,10,390,P90,8905.900000000005,8268.900000000016,-7.152561784884048
RoBERTalex,20230415,10,390,P95,16621.85,16245.499999999962,-2.264188402614853
RoBERTalex,20230515,10,390,mediana,759.5,759.5,0.0
RoBERTalex,20230515,10,390,P90,8905.900000000005,9173.600000000008,3.005872511481189
RoBERTalex,20230515,10,390,P95,16621.85,16650.35,0.1714610587870702
RoBERTalex,20230715,10,390,mediana,759.5,742.0,-2.304147465437789
RoBERTalex,20230715,10,390,P90,8905.900000000005,8044.400000000004,-9.673362602319813
RoBERTalex,20230715,10,390,P95,16621.85,15695.849999999991,-5.57098036620477
RoBERTalex,20230815,10,390,mediana,759.5,754.0,-0.7241606319947302
RoBERTalex,20230815,10,390,P90,8905.900000000005,9173.600000000008,3.005872511481189
RoBERTalex,20230815,10,390,P95,16621.85,16650.35,0.1714610587870702
RoBERTalex,20231016,10,390,mediana,759.5,742.0,-2.304147465437789
RoBERTalex,20231016,10,390,P90,8905.900000000005,9173.600000000008,3.005872511481189
RoBERTalex,20231016,10,390,P95,16621.85,16650.35,0.1714610587870702
RoBERTalex,20231115,10,390,mediana,759.5,751.5,-1.0533245556286985
RoBERTalex,20231115,10,390,P90,8905.900000000005,8294.800000000021,-6.861743338685411
RoBERTalex,20231115,10,390,P95,16621.85,16245.499999999962,-2.264188402614853
RoBERTalex,20240115,10,390,mediana,759.5,751.5,-1.0533245556286985
RoBERTalex,20240115,10,390,P90,8905.900000000005,9173.600000000008,3.005872511481189
RoBERTalex,20240115,10,390,P95,16621.85,16650.35,0.1714610587870702
RoBERTalex,20240215,10,390,mediana,759.5,763.5,0.5266622778143493
RoBERTalex,20240215,10,390,P90,8905.900000000005,8905.900000000005,0.0
