issue_date,year,diary_number,section_code,section_name,department_code,department_name,epigraph,identifier,title,url_xml,url_html,url_pdf,source_format,sha256_text,char_count,word_count
20210515,2021,116,1,I. Disposiciones generales,7723,JEFATURA DEL ESTADO,Sociedades de capital,BOE-A-2021-8031,"Corrección de errores de la Ley 5/2021, de 12 de abril, por la que se modifica el texto refundido de la Ley de Sociedades de Capital, aprobado por el Real Decreto Legislativo 1/2010, de 2 de julio, y otras normas financieras, en lo que respecta al fomento de la implicación a largo plazo de los accionistas en las sociedades cotizadas.",https://www.boe.es/diario_boe/xml.php?id=BOE-A-2021-8031,https://www.boe.es/diario_boe/txt.php?id=BOE-A-2021-8031,https://www.boe.es/boe/dias/2021/05/15/pdfs/BOE-A-2021-8031.pdf,xml,b643045092376411870c269c7e9d29936e1a0fb3582f02a19f1cf1f038ecea6e,1752,281
20210515,2021,116,1,I. Disposiciones generales,9562,"MINISTERIO DE ASUNTOS EXTERIORES, UNIÓN EUROPEA Y COOPERACIÓN",Acuerdos internacionales administrativos,BOE-A-2021-8032,"Acuerdo Administrativo Estándar relativo al Fondo de Respuesta y Recuperación ante la COVID-19 por el que se prevé la gestión intermediada de los fondos, hecho en Nueva York el 15 de marzo de 2021.",https://www.boe.es/diario_boe/xml.php?id=BOE-A-2021-8032,https://www.boe.es/diario_boe/txt.php?id=BOE-A-2021-8032,https://www.boe.es/boe/dias/2021/05/15/pdfs/BOE-A-2021-8032.pdf,xml,896b131a3d65ccf987bfde1badc430bef3f81ab981489ec95dde15dcc1bd91e9,183206,27468
20210515,2021,116,1,I. Disposiciones generales,5140,MINISTERIO DE HACIENDA,Tabaco. Precios,BOE-A-2021-8033,"Resolución de 14 de mayo de 2021, de la Presidencia del Comisionado para el Mercado de Tabacos, por la que se publican los precios de venta al público de determinadas labores de tabaco en Expendedurías de Tabaco y Timbre del área del Monopolio.",https://www.boe.es/diario_boe/xml.php?id=BOE-A-2021-8033,https://www.boe.es/diario_boe/txt.php?id=BOE-A-2021-8033,https://www.boe.es/boe/dias/2021/05/15/pdfs/BOE-A-2021-8033.pdf,xml,4974fc042f9f3acc7257db28b465047541e5bae33163e9f4e695b5b545239292,1991,286
20210515,2021,116,2A,"II. Autoridades y personal. - A. Nombramientos, situaciones e incidencias",1820,CONSEJO GENERAL DEL PODER JUDICIAL,Ceses,BOE-A-2021-8035,"Acuerdo de 6 de mayo de 2021, de la Comisión Permanente del Consejo General del Poder Judicial, por el que se dispone el cese de don Fernando Marín Castán, Magistrado del Tribunal Supremo.",https://www.boe.es/diario_boe/xml.php?id=BOE-A-2021-8035,https://www.boe.es/diario_boe/txt.php?id=BOE-A-2021-8035,https://www.boe.es/boe/dias/2021/05/15/pdfs/BOE-A-2021-8035.pdf,xml,ece345a6d008e969bc621d06c95664624ac5972da9118f2b0ef6d3fc42715ecf,750,117
20210515,2021,116,2A,"II. Autoridades y personal. - A. Nombramientos, situaciones e incidencias",1820,CONSEJO GENERAL DEL PODER JUDICIAL,Ceses,BOE-A-2021-8036,"Acuerdo de 6 de mayo de 2021, de la Comisión Permanente del Consejo General del Poder Judicial, por el que se dispone el cese de don Ricardo Cuesta Castillo, Magistrado del Tribunal Supremo.",https://www.boe.es/diario_boe/xml.php?id=BOE-A-2021-8036,https://www.boe.es/diario_boe/txt.php?id=BOE-A-2021-8036,https://www.boe.es/boe/dias/2021/05/15/pdfs/BOE-A-2021-8036.pdf,xml,ac54777499a09b7b799b99bbee3e3c2f663818f15355fe4d382a04257e946e1a,693,106
20210515,2021,116,2A,"II. Autoridades y personal. - A. Nombramientos, situaciones e incidencias",1820,CONSEJO GENERAL DEL PODER JUDICIAL,Nombramientos,BOE-A-2021-8037,"Acuerdo de 6 de mayo de 2021, de la Comisión Permanente del Consejo General del Poder Judicial, por el que se nombran Magistrados suplentes para el año judicial 2020/2021, en la Sala Quinta del Tribunal Supremo.",https://www.boe.es/diario_boe/xml.php?id=BOE-A-2021-8037,https://www.boe.es/diario_boe/txt.php?id=BOE-A-2021-8037,https://www.boe.es/boe/dias/2021/05/15/pdfs/BOE-A-2021-8037.pdf,xml,d713bd0c8370721722b61ae89ec6328d15912dcb907147e487e499b8c0da9a13,1107,171
20210515,2021,116,2B,II. Autoridades y personal. - B. Oposiciones y concursos,7320,MINISTERIO DEL INTERIOR,Funcionarios del Subgrupo A1,BOE-A-2021-8045,"Resolución de 11 de mayo de 2021, de la Subsecretaría, por la que se convoca concurso general para la provisión de puestos de trabajo, en los Servicios Periféricos de la Secretaría General de Instituciones Penitenciarias.",https://www.boe.es/diario_boe/xml.php?id=BOE-A-2021-8045,https://www.boe.es/diario_boe/txt.php?id=BOE-A-2021-8045,https://www.boe.es/boe/dias/2021/05/15/pdfs/BOE-A-2021-8045.pdf,xml,31c0c64f8a3d6ab274bc9af9c1b05bd7c561969c68991545491191133168c2b4,53027,8053
20210515,2021,116,2B,II. Autoridades y personal. - B. Oposiciones y concursos,9525,ADMINISTRACIÓN LOCAL,Personal funcionario y laboral,BOE-A-2021-8081,"Resolución de 12 de mayo de 2021, del Ayuntamiento de Manresa (Barcelona), referente a la convocatoria para proveer varias plazas.",https://www.boe.es/diario_boe/xml.php?id=BOE-A-2021-8081,https://www.boe.es/diario_boe/txt.php?id=BOE-A-2021-8081,https://www.boe.es/boe/dias/2021/05/15/pdfs/BOE-A-2021-8081.pdf,xml,01dcb2720ed3944704738fc49b5ca5b2d606c1c81136c6da047e10c26c6f2592,1029,164
20210515,2021,116,3,III. Otras disposiciones,7320,MINISTERIO DEL INTERIOR,Convenios,BOE-A-2021-8085,"Resolución de 11 de mayo de 2021, de la Secretaría General Técnica, por la que se publica el Convenio entre la Secretaría General de Instituciones Penitenciarias y la Asociación Adhara, Asociación VIH/Sida, para el cumplimiento de penas de trabajos en beneficio de la comunidad.",https://www.boe.es/diario_boe/xml.php?id=BOE-A-2021-8085,https://www.boe.es/diario_boe/txt.php?id=BOE-A-2021-8085,https://www.boe.es/boe/dias/2021/05/15/pdfs/BOE-A-2021-8085.pdf,xml,01be7177449c9cbb44b055eea3852922a05f2109313632ed64d04007024b2c5d,18949,2844
20210515,2021,116,3,III. Otras disposiciones,5250,"MINISTERIO DE INDUSTRIA, COMERCIO Y TURISMO",Convenios,BOE-A-2021-8090,"Resolución de 6 de mayo de 2021, de la Secretaría General de Industria y de la Pequeña y Mediana Empresa, por la que se publica el Convenio con la Asociación CEEI Castellón, para el establecimiento de Puntos de Atención al Emprendedor integrados en la Red CIRCE.",https://www.boe.es/diario_boe/xml.php?id=BOE-A-2021-8090,https://www.boe.es/diario_boe/txt.php?id=BOE-A-2021-8090,https://www.boe.es/boe/dias/2021/05/15/pdfs/BOE-A-2021-8090.pdf,xml,8bb9329470fc1b61d860d3a398512d2afefdf1b9b6a48af25eb26afbf00d9b8d,26254,4005
