categoria,termino,orthographic_words,subtokens_BETO,pieces_BETO,subtokens_RoBERTalex,pieces_RoBERTalex,subtokens_MEL,pieces_MEL,subtokens_MrBERT-legal,pieces_MrBERT-legal
formula_ritual,y para que conste,4,4,y | para | que | conste,4,Ġy | Ġpara | Ġque | Ġconste,5,▁y | ▁para | ▁que | ▁con | ste,4,▁y | ▁para | ▁que | ▁conste
formula_ritual,así lo acuerda y firma,5,5,así | lo | acuerda | y | firma,5,ĠasÃŃ | Ġlo | Ġacuerda | Ġy | Ġfirma,7,▁así | ▁lo | ▁acu | er | da | ▁y | ▁firma,6,▁así | ▁lo | ▁ac | uerda | ▁y | ▁firma
formula_ritual,dado en Madrid,3,3,dado | en | Madrid,3,Ġdado | Ġen | ĠMadrid,3,▁dado | ▁en | ▁Madrid,3,▁dado | ▁en | ▁Madrid
formula_ritual,por delegación,2,2,por | delegación,2,Ġpor | ĠdelegaciÃ³n,3,▁por | ▁delega | ción,2,▁por | ▁delegación
formula_ritual,en nombre del Rey,4,4,en | nombre | del | Rey,4,Ġen | Ġnombre | Ġdel | ĠRey,4,▁en | ▁nombre | ▁del | ▁Rey,4,▁en | ▁nombre | ▁del | ▁Rey
formula_ritual,he resuelto,2,2,he | resuelto,2,Ġhe | Ġresuelto,4,▁he | ▁res | uel | to,3,▁he | ▁resuel | to
formula_ritual,se dispone,2,2,se | dispone,2,Ġse | Ġdispone,2,▁se | ▁dispone,2,▁se | ▁dispone
formula_ritual,se hace saber,3,3,se | hace | saber,3,Ġse | Ġhace | Ġsaber,3,▁se | ▁hace | ▁saber,3,▁se | ▁hace | ▁saber
formula_ritual,queda derogada,2,3,queda | deroga | ##da,2,Ġqueda | Ġderogada,4,▁queda | ▁de | roga | da,3,▁queda | ▁derog | ada
formula_ritual,entrará en vigor,3,3,entrará | en | vigor,3,ĠentrarÃ¡ | Ġen | Ġvigor,4,▁entrar | á | ▁en | ▁vigor,3,▁entrará | ▁en | ▁vigor
formula_ritual,lo que se comunica para su conocimiento y efectos,9,9,lo | que | se | comunica | para | su | conocimiento | y | efectos,9,Ġlo | Ġque | Ġse | Ġcomunica | Ġpara | Ġsu | Ġconocimiento | Ġy | Ġefectos,9,▁lo | ▁que | ▁se | ▁comunica | ▁para | ▁su | ▁conocimiento | ▁y | ▁efectos,9,▁lo | ▁que | ▁se | ▁comunica | ▁para | ▁su | ▁conocimiento | ▁y | ▁efectos
termino_tecnico_o_arcaismo,providencia,1,2,provi | ##dencia,1,Ġprovidencia,2,▁provide | ncia,2,▁prov | idencia
termino_tecnico_o_arcaismo,emplazamiento,1,1,emplazamiento,1,Ġemplazamiento,3,▁em | plaz | amiento,3,▁empla | z | amiento
termino_tecnico_o_arcaismo,recurrente,1,1,recurrente,1,Ġrecurrente,3,▁re | current | e,2,▁recurr | ente
termino_tecnico_o_arcaismo,recurrido,1,2,recur | ##rido,1,Ġrecurrido,3,▁re | curr | ido,2,▁rec | urrido
termino_tecnico_o_arcaismo,litispendencia,1,4,liti | ##s | ##pen | ##dencia,4,Ġliti | sp | en | dencia,4,▁li | tis | pende | ncia,3,▁lit | isp | endencia
termino_tecnico_o_arcaismo,preclusión,1,3,prec | ##lus | ##ión,3,Ġprec | l | usiÃ³n,3,▁pre | clusi | ón,3,▁pre | cl | usión
